key,ky_latin,ky_kiril,en,kz,tr,az,ru
r_1_rightToLeft,"Bitik jalpıda oñdon solğo oqulat, biroq Talas variantında soldon oñgo oqulğan ülgülör da bar. Avtordun sunuşu: keleçekte soldon oñgo qıluu kerek, sebebi oñdon solğo bolso köp bag, ıñğayısızdıq jana teh qıyınçılıq payda bolot eken.","Битик жалпыда оңдон солго окулат, бирок талас вариантында солдон оңго окулган үлгүлөр да бар. Автордун сунушу: келечекте солдон оңго кылуу керек, себеби оңдон солго болсо көп баг, ыңгайсыздык жана тех кыйынчылык пайда болот экен.","Bitik is generally written right to left, but in the Talas variant there are examples written left to right. The author suggests switching to left-to-right in the future, as right-to-left causes many bugs, inconvenience, and technical issues.","Битік әдетте оңнан солға жазылады, бірақ Талас нұсқасында солдан оңға жазылған мысалдар бар. Автор болашақта солдан оңға жазуға көшуді ұсынады, өйткені оңнан солға жазу көптеген қателер мен қолайсыздықтар туғызады.","Bitik genellikle sağdan sola yazılır, ancak Talas varyantında soldan sağa yazılmış örnekler vardır. Yazar gelecekte soldan sağa geçmeyi önerir, çünkü sağdan sola yazmak hatalara ve zorluklara neden olur.","Bitik adətən sağdan sola yazılır, amma Talas variantında soldan sağa yazılmış nümunələr də var. Müəllif gələcəkdə soldan sağa keçməyi təklif edir, çünki sağdan sola yazmaq çətinliklər yaradır.","Битик обычно читается справа налево, но в таласском варианте встречаются примеры, читаемые слева направо. Автор предлагает перейти на левонаправленное письмо, так как справа налево вызывает ошибки и неудобства."
r_2_hardSoft,"Bitiktin eñ alğaçqy erejesi - tamğalardın qatuu / jumşaqa, je başqaça: joon / niçkege bölünüşü. Bitikte Q, L, T tamğalar joq, Bitikte aQ/eK, aL/eL, aT/eT tamğalar bar.","Битиктин эң алгачкы эрежеси - тамгалардын катуу/жумшака, же башкача: жоон/ничкеге бөлүнүшү. Битикте к, л, т тамлалар жок, битикте аК/эК, аЛ/эЛ, аТ/эТ тамгалар бар.","The first rule of Bitik: letters are divided into hard/soft (thick/thin). There are no K, L, T letters; instead, Bitik has aK/eK, aL/eL, aT/eT symbols.","Битік ережесі бойынша әріптер қатты/жұмсақ болып бөлінеді. K, L, T әріптері жоқ; олардың орнына aK/eK, aL/eL, aT/eT таңбалары қолданылады.","Bitik’in ilk kuralı: harfler sert/yumuşak (kalın/ince) olarak ayrılır. K, L, T harfleri yoktur; bunun yerine aK/eK, aL/eL, aT/eT işaretleri vardır.","Bitikin ilk qaydası: hərflər bərk/yumşaq (qalın/incə) bölünür. K, L, T hərfləri yoxdur; onların yerinə aK/eK, aL/eL, aT/eT işarələri var.","Первое правило Битика - буквы делятся на твёрдые/мягкие (грубые/тонкие). Букв K, L, T нет; вместо них используются символы aK/eK, aL/eL, aT/eT."
r_2_hardVowel,Bul ündüülör joon - AUOİ.,Бул үндүүлөр жоон - АУОЫ.,These vowels are hard: AUOI.,Бұл дауыстылар жуан: AUOI.,Bu ünlüler kalın: AUOI.,Bu saitlər qalındır: AUOI.,Эти гласные - твёрдые: АУОЫ.
r_2_softVowel,Bular niçke - EÜÖİ.,Булар ничке - ЭЕҮӨИ.,These vowels are soft: EÜÖİ.,Бұл дауыстылар жіңішке: ЭЕҮӨИ.,Bu ünlüler ince: EÜÖİ.,Bu saitlər incədir: EÜÖİ.,Эти гласные - мягкие: ЭЕҮӨИ.
r_2_softWithSoftHardWIthHard,Joon ündüülör tek qatuu ünsüzdör menen. Niçke ündüülör tek jumşaq ünsüzdör menen.,Жоон үндүүлөр тек катуу үнсүздөр менен. Ничке үндүүлөр тек жушмак үнсүздөр менен.,Thick vowels only with hard consonants. Thin vowels only with soft consonants.,"Жуан дауыстылар тек қатты дауыссыздармен, жіңішке дауыстылар тек жұмсақ дауыссыздармен.","Kalın ünlüler yalnız sert ünsüzlerle, ince ünlüler yalnız yumuşak ünsüzlerle.","Qalın saitlər yalnız bərk samitlərlə, incə saitlər yalnız yumşaq samitlərlə olur.","Грубые гласные только с твёрдыми согласными, тонкие гласные только с мягкими."
r_3_shortWriting,"Tamğalar özünçö aR/eR, aL/eL bolup oqulğandan, sözdör qısqa jazılat. Azırınça sözdün tamırın ğana qısqa jazıp, qalğanın toluq jazsa bolot. Biroq negizi, bitiktaştarda baarı qısqa jazılğan.","Тамгалар өзүнчө аР/эР, аЛ/эЛ болуп окулгандан, сөздөр кыска жазылат. Азырынча сөздүн тамырын гана кыска жазып, калганын толук жазса болот. Бирок негизи, битикташтарда баары кыска жазылган.","Because letters like aR/eR and aL/eL are read separately, words are written in short form. For now, you can shorten only the root of the word and write the rest fully. However, in authentic Bitik texts, everything is written short.","Әріптер бөлек аР/эР, аЛ/эЛ түрінде оқылғандықтан, сөздер қысқа жазылады. Әзірге сөздің түбірін ғана қысқа жазып, қалғанын толық жазуға болады. Бірақ бастапқы Битик жазбаларында бәрі қысқа жазылған.","Harfler ayrı aR/eR, aL/eL olarak okunduğundan, kelimeler kısa yazılır. Şimdilik kelimenin kökünü kısaltıp kalanını tam yazabilirsiniz. Ancak orijinal Bitik metinlerinde her şey kısaltılarak yazılmıştır.","Hərflər ayrıca aR/eR, aL/eL kimi oxunduğuna görə, sözlər qısa yazılır. Hələlik sözün kökünü qısaldıb, qalanını tam yazmaq olar. Amma əsas Bitik yazılarında hər şey qısa yazılıb.","Так как буквы читаются отдельно как аР/эР, аЛ/эЛ, слова пишутся в сокращённой форме. Пока можно сокращать только корень слова, остальное писать полностью. Однако в оригинальных надписях Битика всё писалось кратко."
r_3_authorSuggestions,"Azır ıñğayluu boluşu üçün, avtordun sunuşu: sözdün tamırın ğana qısqa jazuu.","Азыр ыңгайлуу болуш үчүн, автордун сунушу: сөздүн тамырын гана кыска жазуу.","For convenience, the author suggests shortening only the root of the word.","Ыңғайлы болу үшін, автордың ұсынысы: сөздің түбірін ғана қысқарту.","Kullanım kolaylığı için yazar, sadece kelimenin kökünü kısaltmayı öneriyor.","Rahatsız olmamaq üçün müəllif, sözün kökünü qısaltmağı təklif edir.",Для удобства автор предлагает сокращать только корень слова.
r_3_specialLetters,3.1 Atayın tamğalar,3.1 Атайын тамгалар,3.1 Special letters,3.1 Арнайы әріптер,3.1 Özel harfler,3.1 Xüsusi hərflər,3.1 Специальные буквы
r_3_specialLetters_Details,"Qoşumça, qısqa jazuuğa atayın tamğalar bar. Alardın tıbışı eç qaçan özgörböyt.","Кошумча, кыска жазууга атайын тамгалар бар. Алардын тыбышы эч качан өзгөрбөйт.","Additionally, there are special letters for short writing. Their pronunciation never changes.",Қысқа жазуға арналған қосымша арнайы әріптер бар. Олардың дыбысы ешқашан өзгермейді.,Kısa yazım için özel harfler vardır. Bu harflerin sesi asla değişmez.,Qısa yazı üçün əlavə xüsusi hərflər var. Onların səsləri heç vaxt dəyişmir.,Для краткого письма существуют специальные буквы. Их звучание никогда не меняется.
r_3_singarmonism_Jiraq,Sebebi “Jırıq” mınday jazılmaq:,Себеби “жырык” мындай жазылмак:,Because “Jırıq” would be written like this:,Себебі “Жырық” осылай жазылады:,Çünkü “Jırıq” şöyle yazılır:,Çünki “Jırıq” belə yazılır:,Потому что «Жырык» писалось бы так:
r_4_doubleWords,"Kee bir sözdör eki sözdön turuşat. Jana jarımı jumşaq, jarımı qatuu bolušu mümkün, misalı:","Кээ бир сөздөр эки сөздөн турушат. Жана жарымы жумшак, жарымы катуу болушу мүмкүн, мисалы:","Some words consist of two parts, and one half can be soft while the other is hard, for example:","Кейбір сөздер екі бөліктен тұрады, бір бөлігі жұмсақ, екіншісі қатты болуы мүмкін, мысалы:","Bazı kelimeler iki kelimeden oluşur; biri yumuşak, diğeri sert olabilir, örneğin:","Bəzi sözlər iki sözdən ibarətdir; biri yumşaq, digəri sərt ola bilər, məsələn:","Некоторые слова состоят из двух частей; одна часть может быть мягкой, другая - твёрдой, например:"
r_4_doubleWords_2,"Bul sözdördü bölök jazıp, biriktirip qoyobuz.","Бул сөздөрдү бөлөк жазып, бириктирип коебуз.",We write these words separately and then join them together.,"Бұл сөздерді бөлек жазып, кейін біріктіреміз.","Bu kelimeleri ayrı yazarız, sonra birleştiririz.","Bu sözləri ayrı yazıb, sonra birləşdiririk.","Эти слова мы пишем раздельно, а потом соединяем."
