key,ky_latin,ky_kiril,en,tr,kz,az,ru
method1,Birinçi ıqma,Биринчи ыкма,First method,Birinci yöntem,Бірінші әдіс,,Первый способ
openSettings,Settings' / 'Настройки' açıñız,Settings' / 'Настройки' ачыңыз,Open Settings,Ayarları açın,Параметрлерді ашыңыз,,Откройте Настройки
openAppSettingsAndEnableKeyboards,"İçinde 'Keyboards' / 'Клавиатуры' basıp, basqıçtoptu jandırıñız","Ичинде 'Keyboards' / 'Клавиатуры' басып, баскычтопту жандырыңыз","In Settings, tap Keyboards and enable the keyboards",Ayarlar'da Klavyeler'e gidip klavyeyi etkinleştirin,"Параметрлерде 'Пернетақталар' бөліміне өтіп, пернетақтаны қосыңыз",,В Настройках откройте Клавиатуры и включите клавиатуру
method2,Ekinçi ıqma,Экинчи ыкма,Second method,İkinci yöntem,Екінші әдіс,,Второй способ
tapGeneral,General' / 'Основные' basıñız,General' / 'Основные' басыңыз,Tap General,Genel'e dokunun,«Негізгі» бөлімін ашыңыз,,Нажмите Основные
tapKeyaboard,Keyboard' / 'Клавиатура' basıñız,Keyboard' / 'Клавиатура' басыңыз,Tap Keyboard,Klavyeye dokunun,«Пернетақта» бөлімін ашыңыз,,Нажмите Клавиатура
tapKeyaboards,Keyboards' / 'Клавиатуры' basıñız,Keyboards' / 'Клавиатуры' басыңыз,Tap Keyboards,Klavyeler'e dokunun,«Пернетақталар» тармағын таңдаңыз,,Нажмите Клавиатуры
tapAddNewKeyboard,Add New Keyboards' / 'Новые клавиатуры' basıñız,Add New Keyboards' / 'Новые клавиатуры' басыңыз,Tap Add New Keyboard,Yeni Klavye Ekle'ye dokunun,«Жаңа пернетақта қосу» таңдаңыз,,Нажмите Добавить новую клавиатуру
tapShoktukKeyboard,Shoktuk Keyboard' basıñız,Shoktuk Keyboard' басыңыз,Tap Shoktuk Keyboard,Shoktuk Keyboard'a dokunun,«Shoktuk Keyboard» таңдаңыз,,Нажмите Shoktuk Keyboard
enableTheKeyboardAndClickDone,Basqıçtoptu küygüzüp 'Done' / 'Готово' basıñız,Баскычтопту күйгүзүп 'Done' / 'Готово' басыңыз,Enable the keyboard and tap Done,Klavyeyi etkinleştirip Bitti'ye basın,Пернетақтаны қосып Дайын батырмасын басыңыз,,Включите клавиатуру и нажмите Готово
